0:00:08.897300787 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897298282, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897309133 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897306728, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897317538 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897315104, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897326916 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897324391, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897335362 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897332827, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897344288 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897341754, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897352724 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897350230, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)3584, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:08.897513996 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8897508646, pad-ix=(uint)7, element-ix=(uint)1, peer-pad-ix=(uint)2, peer-element-ix=(uint)2, buffer-size=(uint)155112, have-buffer-pts=(boolean)1, buffer-pts=(guint64)200000000, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)1, buffer-duration=(guint64)200000000, buffer-flags=(GstBufferFlags)16448;
0:00:08.898142393 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)8898138185, pad-ix=(uint)3, element-ix=(uint)2, peer-pad-ix=(uint)4, peer-element-ix=(uint)3, buffer-size=(uint)155112, have-buffer-pts=(boolean)1, buffer-pts=(guint64)200000000, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)1, buffer-duration=(guint64)1000000, buffer-flags=(GstBufferFlags)1600;
0:00:08.898280222 754921 0x56517d42b860 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864288, ts=(guint64)8898275073, pad-ix=(uint)5, element-ix=(uint)3, peer-pad-ix=(uint)6, peer-element-ix=(uint)4, buffer-size=(uint)155112, have-buffer-pts=(boolean)1, buffer-pts=(guint64)200000000, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)1, buffer-duration=(guint64)1000000, buffer-flags=(GstBufferFlags)1600;
0:00:10.491764499 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)10491744411, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:10.491817358 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)10491811276, pad-ix=(uint)7, element-ix=(uint)1, peer-pad-ix=(uint)2, peer-element-ix=(uint)2, buffer-size=(uint)4010, have-buffer-pts=(boolean)1, buffer-pts=(guint64)1000000000, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)1, buffer-duration=(guint64)200000000, buffer-flags=(GstBufferFlags)24576;
0:00:10.491847554 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)10491843336, pad-ix=(uint)3, element-ix=(uint)2, peer-pad-ix=(uint)4, peer-element-ix=(uint)3, buffer-size=(uint)4010, have-buffer-pts=(boolean)1, buffer-pts=(guint64)1000000000, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)1, buffer-duration=(guint64)1000000, buffer-flags=(GstBufferFlags)8704;
0:00:10.491900053 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)10491896255, pad-ix=(uint)0, element-ix=(uint)0, peer-pad-ix=(uint)1, peer-element-ix=(uint)1, buffer-size=(uint)4096, have-buffer-pts=(boolean)0, buffer-pts=(guint64)18446744073709551615, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)0, buffer-duration=(guint64)18446744073709551615, buffer-flags=(GstBufferFlags)0;
0:00:10.491926773 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)10491923036, pad-ix=(uint)7, element-ix=(uint)1, peer-pad-ix=(uint)2, peer-element-ix=(uint)2, buffer-size=(uint)866, have-buffer-pts=(boolean)1, buffer-pts=(guint64)600000000, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)1, buffer-duration=(guint64)200000000, buffer-flags=(GstBufferFlags)24576;
0:00:10.491938505 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)10491935158, pad-ix=(uint)3, element-ix=(uint)2, peer-pad-ix=(uint)4, peer-element-ix=(uint)3, buffer-size=(uint)866, have-buffer-pts=(boolean)1, buffer-pts=(guint64)600000000, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)1, buffer-duration=(guint64)1000000, buffer-flags=(GstBufferFlags)8704;
0:00:10.491943374 754921 0x56517d42b860 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864288, ts=(guint64)10491922324, pad-ix=(uint)5, element-ix=(uint)3, peer-pad-ix=(uint)6, peer-element-ix=(uint)4, buffer-size=(uint)4010, have-buffer-pts=(boolean)1, buffer-pts=(guint64)1000000000, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)1, buffer-duration=(guint64)1000000, buffer-flags=(GstBufferFlags)8704;
0:00:10.491971516 754921 0x56517d42b9e0 TRACE             GST_TRACER :0:: buffer, thread-id=(guint64)94907993864672, ts=(guint64)10491968030, pad-ix=(uint)7, element-ix=(uint)1, peer-pad-ix=(uint)2, peer-element-ix=(uint)2, buffer-size=(uint)499, have-buffer-pts=(boolean)1, buffer-pts=(guint64)400000000, have-buffer-dts=(boolean)0, buffer-dts=(guint64)18446744073709551615, have-buffer-duration=(boolean)1, buffer-duration=(guint64)200000000, buffer-flags=(GstBufferFlags)24576;
